Id,SalePrice
1461,121099.79292567029
1462,159537.94426007685
1463,180805.23794560297
1464,184396.28077885648
1465,187751.0882586821
1466,175137.7787411402
1467,173255.4164030676
1468,170357.7777223285
1469,183899.844122884
1470,124408.0647901878
1471,199626.04267008297
1472,90673.53477184262
1473,92482.42464324798
1474,153240.59134911426
1475,123631.44113538733
1476,362097.283057908
1477,248669.09105039702
1478,301286.6227175765
1479,286949.8876544814
1480,466194.45804995694
1481,314470.5311075441
1482,201368.07484488992
1483,175051.4976262802
1484,172208.3362227398
1485,175053.72094598235
1486,189072.51850202488
1487,343612.5332844836
1488,231747.15152221368
1489,206095.5391484861
1490,222588.79968379275
1491,185473.97624721035
1492,94615.47495152833
1493,181952.4381926281
1494,281976.21580029826
1495,284964.24531187204
1496,239588.92140462837
1497,182732.06417140094
1498,157036.63507822034
1499,157341.25254126295
1500,157399.79126275147
1501,173909.43227831484
1502,142642.92692836627
1503,288516.9545082858
1504,229511.07797653947
1505,228867.5965857
1506,178236.3177758907
1507,235249.78863421018
1508,195164.05773540583
1509,160932.8874279663
1510,153052.96084451387
1511,149433.97262206164
1512,172882.1008782708
1513,143670.47718113477
1514,156305.2717974086
1515,187447.5362092018
1516,149597.3835883865
1517,163254.51097507877
1518,127293.96326297008
1519,224670.65878350893
1520,137912.24427365983
1521,141052.1051137532
1522,161895.49980305252
1523,118007.49648369662
1524,124334.89965053351
1525,124173.92418458851
1526,114766.08916223912
1527,100853.96028722706
1528,134089.72395191554
1529,152558.71378057057
1530,176247.98627584073
1531,107382.41600424044
1532,98063.72722694054
1533,147186.5812307631
1534,120451.49142243166
1535,157819.49339324117
1536,114542.90755997409
1537,63109.516322431344
1538,160579.3576989515
1539,209351.5393633967
1540,92335.32656827275
1541,144622.34279071994
1542,141263.209434983
1543,228708.9198284998
1544,77738.20263668151
1545,104807.38815984924
1546,124919.53048098115
1547,137920.9861018088
1548,139106.2472992941
1549,110432.68648767198
1550,140030.29459278815
1551,113960.68531637655
1552,132068.3907792552
1553,154372.13523454318
1554,119094.83094360521
1555,171941.46900592558
1556,81945.0377653276
1557,113532.98580754848
1558,87413.19171943603
1559,88790.51205644886
1560,141666.1091816299
1561,129662.0378353983
1562,128706.12038224994
1563,122776.46132284829
1564,164733.6609125883
1565,153591.82872587687
1566,236706.35061060073
1567,68496.44084185996
1568,229816.48174620682
1569,130018.90747312598
1570,136069.4285818492
1571,119276.61605871031
1572,152214.71250282292
1573,248066.57840631634
1574,113105.10039721924
1575,220457.49906898016
1576,237245.4431863337
1577,199461.69777411333
1578,148782.1914986142
1579,145270.19547715742
1580,189727.52055701835
1581,145702.87344254518
1582,130993.95235895173
1583,329870.6572833458
1584,231542.78126505282
1585,141799.75224260287
1586,68175.67933258183
1587,96299.44397399243
1588,154462.76442883525
1589,93956.19361192422
1590,133591.84228065258
1591,100301.50793307058
1592,123107.6992429687
1593,123504.74121781385
1594,129512.6984909483
1595,116788.42664226853
1596,249783.31585931667
1597,180528.30879141256
1598,198318.6848224205
1599,166698.07826025385
1600,171091.82811525976
1601,66154.85413216044
1602,105894.57606692899
1603,89744.11813876763
1604,282066.0886061834
1605,242312.49182591957
1606,173619.51873789745
1607,164195.4766126541
1608,217769.59791510733
1609,191273.79662736796
1610,155867.52437298815
1611,141782.92444407401
1612,171755.51727997267
1613,166438.47438683893
1614,124630.9642311322
1615,89045.33457714246
1616,74529.769839986
1617,88926.72779426847
1618,128606.13650060646
1619,138570.9143074914
1620,149518.17445174197
1621,136269.4848614382
1622,145164.5517849742
1623,283833.03666881786
1624,207985.40942161705
1625,117825.27086894496
1626,161611.20451453046
1627,184521.64955984996
1628,274243.98276898573
1629,175628.49897680676
1630,337803.5115985533
1631,195145.0664134461
1632,235077.20385279699
1633,169352.15958037743
1634,180786.6005898713
1635,182753.92006294185
1636,159722.028101253
1637,189011.25538580143
1638,192414.47000573075
1639,176784.5730429058
1640,260855.5951598204
1641,175370.74956662714
1642,230641.00654370032
1643,221431.38954415676
1644,224585.54894036162
1645,193922.44420621998
1646,156009.7822167522
1647,158885.68043127487
1648,137728.14212039617
1649,140197.8456836058
1650,115473.709825098
1651,122092.7485739203
1652,94356.35210163807
1653,96055.00522401588
1654,152755.13583497674
1655,146075.35589761205
1656,150848.50598458535
1657,155131.06775689282
1658,151546.70490235963
1659,131609.99747126873
