ID,item_cnt_month
0,0.48518056
1,0.16574305
2,0.7607893
3,0.20840225
4,0.16574305
5,0.47174662
6,0.8900558
7,0.18977293
8,1.0073057
9,0.16574305
10,2.5921934
11,0.24348256
12,0.15626732
13,0.41910523
14,1.701687
15,2.5469637
16,0.16574305
17,0.1665996
18,1.1429925
19,0.14834195
20,0.784626
21,0.16574305
22,0.9966537
23,0.7512895
24,1.1859239
25,0.16574305
26,0.16574305
27,0.5447315
28,0.7625494
29,2.4910088
30,0.59930587
31,0.16574305
32,0.46740735
33,0.7978684
34,0.15467325
35,0.15741539
36,0.16677032
37,0.535839
38,0.24752864
39,0.17027283
40,0.5363736
41,1.1342198
42,3.0353167
43,3.5430925
44,0.39452055
45,0.16574305
46,0.8181001
47,0.23565446
48,0.28969854
49,0.85637224
50,1.3515215
51,0.24348256
52,0.57241
53,0.21285678
54,4.2947364
55,2.7989583
56,2.9141505
57,2.1532462
58,4.508183
59,4.755236
60,3.7777503
61,0.48590055
62,0.38554943
63,0.32965678
64,0.16574305
65,0.16574305
66,0.7690551
67,0.15744917
68,0.39452055
69,0.19106294
70,0.16574305
71,1.4592109
72,0.4364291
73,1.2287796
74,0.16574305
75,0.16574305
76,0.3271478
77,0.16574305
78,0.45497063
79,0.6961243
80,0.97909606
81,2.8258555
82,0.8795464
83,0.2662567
84,1.108456
85,1.1403531
86,0.71076083
87,0.1568349
88,3.210194
89,1.3030924
90,0.71714103
91,0.34914407
92,1.9067763
93,0.20840225
94,0.28831688
95,0.15513004
96,0.15744917
97,0.45652878
98,0.63372004
99,1.4713185
100,0.6853211
101,0.57776403
102,0.28953302
103,0.34914407
104,0.15327719
105,0.16574305
106,0.16574305
107,0.7777803
108,0.16584252
109,0.16574305
110,0.26711416
111,0.16574305
112,0.16574305
113,0.16574305
114,0.31168935
115,0.27115768
116,0.16574305
117,0.1834501
118,7.747022
119,0.17854151
120,0.14937112
121,0.15028691
122,0.33652297
123,0.53989875
124,0.55996656
125,0.96181047
126,0.16574305
127,0.15493438
128,0.16574305
129,0.24543084
130,0.34914407
131,0.16574305
132,0.34914407
133,2.5031807
134,0.1499469
135,0.34914407
136,0.24348256
137,0.16574305
138,0.7866323
139,0.16574305
140,0.26418993
141,0.45866695
142,0.1793418
143,0.24348256
144,0.16574305
145,0.16574305
146,0.16574305
147,0.2234996
148,0.16574305
149,0.16574305
150,0.15996376
151,0.16574305
152,5.1745563
153,0.28380316
154,0.16574305
155,0.2508744
156,0.27672058
157,0.15776767
158,0.20863199
159,0.36990213
160,0.16574305
161,0.24348256
162,0.16574305
163,0.48940504
164,0.45510742
165,0.16505389
166,0.48506647
167,0.16240798
168,0.16574305
169,0.1634985
170,0.24348256
171,0.7248198
172,0.32605353
173,1.1803386
174,1.294947
175,2.0287657
176,1.0768214
177,0.16574305
178,0.41046125
179,0.16149876
180,0.84378827
181,0.36641502
182,0.16574305
183,0.18168974
184,0.23779666
185,0.16574305
186,0.1564137
187,0.22406621
188,0.16574305
189,0.16574305
190,0.16574305
191,0.66917574
192,0.5363736
193,0.19585076
194,0.15776767
195,0.19365084
196,0.34914407
197,2.9376783
198,1.1151679
199,0.16574305
200,0.16574305
201,0.16574305
202,0.22674306
203,1.1132157
204,0.16583158
205,0.16574305
206,0.16574305
207,0.15920632
208,1.24174
209,0.5011653
210,0.24691059
211,0.17609763
212,0.15132602
213,0.34914407
214,0.16627422
215,0.61487365
216,0.4340739
217,0.30237412
218,2.3091717
219,0.5913644
220,0.43137136
221,0.16574305
222,0.16574305
223,0.7027067
224,2.1668034
225,0.3826834
226,0.3736824
227,0.16574305
228,0.27982342
229,0.16574305
230,0.16574305
231,0.46106997
232,0.16574305
233,0.34935558
234,0.16574305
235,0.24207935
236,0.2522241
237,0.45606446
238,0.34914407
239,0.34663653
240,0.6722051
241,0.14990778
242,0.16574305
243,0.16574305
244,0.16574305
245,0.26371866
246,1.4622937
247,0.5263077
248,0.6318594
249,0.16111046
250,0.61467874
251,0.21374592
252,0.31922847
253,1.1022011
254,0.4433991
255,5.1745563
256,0.16574305
257,0.22958826
258,0.46697518
259,0.23712079
260,0.1496904
261,0.16564512
262,0.25314504
263,0.16574305
264,0.14746094
265,0.44098812
266,0.16574305
267,0.24348256
268,0.15741539
269,0.16603912
270,1.0200133
271,0.16499959
272,0.22005296
273,0.57776403
274,9.432243
275,0.16574305
276,0.34914407
277,1.4456191
278,0.35092005
279,0.25368407
280,0.23147054
281,0.23798504
282,0.18036264
283,0.6316415
284,0.23147054
285,0.26692075
286,0.16574305
287,0.7448021
288,0.26395997
289,0.34914407
290,0.16574305
291,0.15976524
292,0.3253962
293,0.19514173
294,0.6501961
295,1.0340531
296,0.23414998
297,0.24745275
298,0.16574305
299,0.16574305
300,0.16234642
301,0.54252744
302,0.7479551
303,0.6296231
304,0.15776767
305,0.15920632
306,0.2719577
307,0.20901299
308,0.28148153
309,0.16574305
310,0.16574305
311,0.46222523
312,0.68724406
313,0.25368407
314,0.16574305
315,0.34914407
316,0.18233645
317,1.7963794
318,0.15220061
319,0.21247256
320,0.16574305
321,0.15797079
322,0.75280344
323,0.18726976
324,0.45777836
325,0.42069134
326,0.33591235
327,0.16574305
328,0.16574305
329,0.3574492
330,0.16574305
331,0.16574305
332,0.20099397
333,0.27503854
334,0.75664496
335,0.2847365
336,0.16564262
337,0.6829953
338,0.36238682
339,0.41394228
340,0.17225032
341,0.24625602
342,0.16574305
343,0.96458983
344,0.15391089
345,0.17024817
346,3.9993486
347,2.8280668
348,0.16461483
349,0.311458
350,0.16574305
351,0.53586286
352,0.16574305
353,0.18644346
354,0.16574305
355,0.16574305
356,0.34914407
357,0.6501961
358,0.5341044
359,0.34914407
360,0.20840225
361,2.5685294
362,0.57776403
363,0.75664496
364,0.5578447
365,0.44563574
366,0.16574305
367,0.16574305
368,0.16574305
369,0.2231298
370,0.16574305
371,0.34914407
372,0.57776403
373,0.16574305
374,1.3080993
375,2.082365
376,0.5079704
377,0.26692075
378,0.3983404
379,0.16574305
380,2.2698712
381,0.44563574
382,0.42523208
383,0.16574305
384,1.4026287
385,0.39984325
386,0.4265059
387,0.16574305
388,0.2142457
389,0.15286407
390,0.16574305
391,0.1898527
392,0.280268
393,0.41438362
394,0.16574305
395,0.16574305
396,1.884128
397,0.46705768
398,0.16574305
399,0.38651776
400,0.16574305
401,0.45092583
402,1.306076
403,1.8582294
404,0.3477658
405,0.18500987
406,0.19084552
407,0.15919365
408,0.18112823
409,0.16574305
410,0.16574305
411,0.9061954
412,0.1614249
413,0.2317097
414,0.16574305
415,4.0784116
416,0.16574305
417,0.16574305
418,0.16574305
419,0.16574305
420,0.43671042
421,1.1397736
422,0.34914407
423,0.8436055
424,0.17810196
425,0.2578488
426,0.16574305
427,0.16574305
428,1.0352795
429,0.5241034
430,1.103215
431,0.61501276
432,0.15613373
433,0.16574305
434,0.15149924
435,0.68203473
436,0.17800403
437,0.7036829
438,0.56687987
439,0.5854691
440,0.18944493
441,0.2616591
442,0.24348256
443,0.2548728
444,0.17810196
445,0.36813203
446,0.25193197
447,0.23914698
448,0.34914407
449,0.56123465
450,0.34914407
451,0.24327706
452,0.20065588
453,0.23887806
454,0.44857785
455,0.22017744
456,0.38323018
457,0.16574305
458,0.5599587
459,0.61840516
460,16.054197
461,1.1050565
462,0.34914407
463,0.5882645
464,0.62475514
465,0.16574305
466,0.16574305
467,0.16574305
468,0.16574305
469,0.41082206
470,0.34914407
471,0.46261343
472,0.20840225
473,0.16574305
474,0.84378827
475,1.1397736
476,0.16574305
477,0.15469766
478,0.16601165
479,0.16574305
480,0.16574305
481,0.16574305
482,0.17149854
483,0.34914407
484,0.842579
485,0.47580808
486,0.6534029
487,0.16685432
488,0.16574305
489,1.9467548
490,0.22141692
491,0.16574305
492,0.4086196
493,0.16574305
494,0.3351605
495,0.16243267
496,0.1898527
497,0.16574305
498,4.882105
499,0.16574305
500,0.16574305
501,0.45873743
502,0.45112398
503,0.16574305
504,1.325423
505,0.73100173
506,1.0122523
507,0.18587066
508,0.8967948
509,0.32472217
510,0.19793051
511,0.1640704
512,0.24865481
513,0.16574305
514,0.15613373
515,0.16574305
516,0.24348256
517,0.5558708
518,0.8451731
519,0.42425933
520,0.43900904
521,0.69531405
522,0.5457524
523,1.292981
524,0.20840225
525,0.5236583
526,0.387288
527,0.19943778
528,0.15776767
529,0.15738982
530,0.16574305
531,0.58115375
532,0.1585418
533,0.1477618
534,0.16574305
535,0.15146309
536,0.16574305
537,0.17528813
538,0.4572179
539,0.21557045
540,0.78279674
541,0.16574305
542,0.34018672
543,0.17967555
544,0.15744917
545,0.16574305
546,0.35678747
547,0.1707997
548,0.16149876
549,0.1646045
550,0.16574305
551,0.34280956
552,0.60356
553,0.17590988
554,0.16564512
555,0.35803634
556,0.17947894
557,0.23147054
558,0.16574305
559,0.19038808
560,0.2982943
561,0.8983774
562,0.15462904
563,0.16574305
564,0.16574305
565,0.17218429
566,0.2023613
567,0.16574305
568,0.24253494
569,0.15408751
570,0.16574305
571,0.16574305
572,0.6501961
573,0.2696538
574,0.16574305
575,0.16574305
576,0.2690149
577,0.16574305
578,0.16574305
579,0.35945722
580,0.16574305
581,0.16574305
582,0.16574305
583,0.16574305
584,0.6833614
585,0.15061899
586,0.16574305
587,0.65091646
588,2.3274548
589,0.20793387
590,0.47634587
591,0.31855556
592,1.7678413
593,0.17139126
594,0.1749296
595,0.23839739
596,0.1960426
597,0.16574305
598,0.16598964
599,0.16574305
600,0.17143786
601,0.19093835
602,0.16574305
603,0.15741539
604,0.23788536
605,0.15555385
606,0.15882906
607,0.16574305
608,0.1584842
609,0.4169801
610,0.37376627
611,0.6875218
612,0.16574305
613,0.16574305
614,0.16574305
615,0.8018179
616,0.34914407
617,0.29028517
618,0.42523208
619,0.1898527
620,0.43083534
621,0.16574305
622,0.16574305
623,0.49591485
624,0.34914407
625,0.34914407
626,0.6501961
627,0.16574305
628,0.15873946
629,0.20840225
630,0.24001397
631,0.16574305
632,0.20840225
633,0.16574305
634,0.59475356
635,0.4059967
636,0.16574305
637,0.24046917
638,0.32288438
639,0.18167457
640,0.56239235
641,0.64651537
642,0.18398172
643,0.16574305
644,0.15220061
645,0.16574305
646,0.6501961
647,0.1898527
648,0.16574305
649,0.20840225
650,0.25607818
651,0.7773613
652,0.16574305
653,0.20099398
654,0.22670637
655,0.34914407
656,0.39589426
657,0.16574305
658,0.16574305
659,0.19064754
660,0.5268178
661,0.2522229
662,0.16574305
663,0.9560461
664,0.15272745
665,0.51091444
666,0.20109859
667,0.16574305
668,0.57776403
669,0.20840225
670,0.17525911
671,0.16348991
672,0.19393839
673,0.73071575
674,0.16574305
675,0.16574305
676,0.61868876
677,0.7047932
678,0.24348256
679,0.8550581
680,0.16574305
681,0.17045672
682,0.63502395
683,0.16574305
684,0.57776403
685,0.34914407
686,0.35803634
687,0.34914407
688,0.40149269
689,0.16574305
690,0.16574305
691,0.19366807
692,0.18499501
693,0.15927067
694,0.16574305
695,0.72707
696,0.16574305
697,0.16574305
698,0.16574305
699,0.16574305
700,1.1397736
701,0.16574305
702,1.1388592
703,1.1388592
704,0.16574305
705,0.16574305
706,0.181391
707,0.16574305
708,0.16305068
709,1.8804902
710,0.25296295
711,0.35132682
712,0.16574305
713,0.47628736
714,0.24348256
715,0.16574305
716,0.41023204
717,0.24752864
718,0.16574305
719,0.16574305
720,0.16574305
721,0.46272635
722,0.15430892
723,1.7268615
724,0.20511292
725,0.42523208
726,0.618837
727,0.57776403
728,0.16574305
729,0.8900558
730,0.19744445
731,0.16168521
732,0.8954028
733,0.16574305
734,0.57776403
735,0.24348256
736,0.34914407
737,0.56919456
738,0.42523208
739,0.2738025
740,0.24348256
741,0.15340215
742,0.16574305
743,0.34914407
744,0.6708808
745,0.42523208
746,0.35803634
747,0.5025369
748,0.61499023
749,0.16574305
750,0.33462968
751,0.19054621
752,0.35132682
753,0.16270353
754,2.0423388
755,0.47634587
756,0.16574305
757,0.40346822
758,0.15920632
759,0.17129815
760,0.82068324
761,0.34818813
762,0.1677171
763,1.4592109
764,0.35132682
765,0.1898527
766,0.24348256
767,0.33369488
768,0.6103834
769,0.45572668
770,0.16574305
771,0.16574305
772,0.24348256
773,0.16574305
774,0.16574305
775,0.16574305
776,0.34914407
777,0.34914407
778,0.16574305
779,0.34914407
780,0.16574305
781,0.84378827
782,0.6827487
783,0.34914407
784,0.16574305
785,0.84378827
786,1.717675
787,0.9110205
788,0.16574305
789,0.34914407
790,0.16574305
791,0.16574305
792,0.16574305
793,2.5031807
794,0.16574305
795,0.16574305
796,0.16574305
797,0.34914407
798,0.16574305
799,1.1513047
800,0.34914407
801,0.23798504
802,0.16574305
803,0.16574305
804,0.209481
805,0.16574305
806,0.15147609
807,0.30060917
808,0.42084873
809,0.16574305
810,0.53222525
811,0.41983262
812,0.35898072
813,0.1898527
814,0.15594353
815,0.45996034
816,0.28737074
817,0.16574305
818,0.16574305
819,0.19452617
820,0.25202382
821,0.15392286
822,0.38440648
823,0.16574305
824,0.26551256
825,0.34922263
826,0.20840225
827,0.16574305
828,0.15553404
829,0.22586955
830,0.84378827
831,0.27982342
832,0.17144825
833,0.49374267
834,0.84378827
835,0.21427153
836,0.16574305
837,0.75318205
838,0.5486413
839,0.16234799
840,0.16574305
841,0.27982342
842,0.17810196
843,0.16574305
844,0.35803634
845,0.16574305
846,0.17027283
847,0.34914407
848,0.19946614
849,0.18286775
850,0.20903525
851,0.16574305
852,0.46410814
853,0.16574305
854,0.35803634
855,0.8206333
856,0.34914407
857,1.0168252
858,0.16574305
859,0.6657574
860,0.17652911
861,0.16574305
862,0.24348256
863,0.34914407
864,0.36421618
865,0.4960915
866,0.3482864
867,0.16149876
868,0.9130019
869,0.20848039
870,0.7071303
871,0.23147054
872,0.20950456
873,0.3684189
874,0.49781027
875,1.0484415
876,0.21015985
877,0.15920632
878,0.35068238
879,0.42523208
880,0.15366876
881,0.34914407
882,0.6414628
883,1.1397736
884,0.6566248
885,0.898296
886,0.24453834
887,0.4086089
888,0.27798238
